Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G
Diarra,POR,5.5,1370,15.0,0,,,3.0,0,,15,54,,25.37,9.82,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Diarra,CLEAN_POSITIVE_MINUTES,1.0
Little,POR,4.5,53,0.0,0,,,0.0,0,,0,2,,26.5,0.44,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Little,CLEAN_POSITIVE_MINUTES,0.0
Olofinjana*,STK,5.0,0,0.0,0,,,0.0,0,,0,0,,0.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Olofinjana,EXCLUDE_ZERO_OR_OUTSIDE_PL,0.0
Diao*,STK,4.5,0,8.0,0,,,1.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Diao,EXCLUDE_ZERO_OR_OUTSIDE_PL,0.0
Delap*,STK,4.5,0,44.0,6,,,6.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Delap,EXCLUDE_ZERO_OR_OUTSIDE_PL,2.0
Whelan*,STK,4.5,0,13.0,0,,,3.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Whelan,EXCLUDE_ZERO_OR_OUTSIDE_PL,1.0
Lawrence*,STK,5.5,0,40.0,15,,,12.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Lawrence,EXCLUDE_ZERO_OR_OUTSIDE_PL,15.0
Pugh*,STK,4.5,0,27.0,4,,,5.0,0,,0,0,,90.0,0.0,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,True,Pugh,EXCLUDE_ZERO_OR_OUTSIDE_PL,0.0
Wallace,SUN,4.5,1491,19.0,2,,,3.0,0,,2,55,,27.11,12.22,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Wallace,CLEAN_POSITIVE_MINUTES,2.0
Richardson,SUN,6.0,1109,13.0,2,,,3.0,0,,3,53,,20.92,8.83,MID,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-midfielders,False,Richardson,CLEAN_POSITIVE_MINUTES,3.0
