Player,Club,Price,Mins,Starts,A,CS,GC,Y,R,Saves,Bonus,Pts,Mins/Save,Mins/Pts,Pts/Price,ffs_2008_09_category,source_url,outside_pl_2007_08_flag,carrier_player_name,carrier_status,G,name_norm,launch_match_status,launch_match_method,launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url,expected_later_addition
Ward,SUN,4.0,270,3.0,0,1.0,3.0,0.0,0,8.0,0,10,33.75,27.0,2.5,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Ward,CLEAN_POSITIVE_MINUTES,,ward,MATCHED,EXACT_DISPLAY_NAME,GK,Ward,Sunderland,0.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Gordon,SUN,4.5,3060,34.0,0,6.0,55.0,1.0,0,99.0,6,100,30.91,30.6,22.22,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Gordon,CLEAN_POSITIVE_MINUTES,,gordon,MATCHED,EXACT_DISPLAY_NAME,GK,Gordon,Sunderland,0.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Fulop,SUN,4.0,90,1.0,0,0.0,1.0,0.0,0,4.0,0,3,22.5,30.0,0.75,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Fulop,CLEAN_POSITIVE_MINUTES,,fulop,MATCHED,EXACT_DISPLAY_NAME,GK,Fulop,Sunderland,0.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Carson,WBA,5.0,3125,35.0,2,9.0,46.0,1.0,1,82.0,1,113,38.11,27.65,22.6,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Carson,CLEAN_POSITIVE_MINUTES,,carson,MATCHED,EXACT_DISPLAY_NAME,GK,Carson,Aston Villa,139.0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Green,WHM,5.0,3420,38.0,0,8.0,50.0,2.0,0,111.0,12,144,30.81,23.75,28.8,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Green,CLEAN_POSITIVE_MINUTES,,green,MATCHED,EXACT_DISPLAY_NAME,GK,Green,West Ham,99.0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Pollitt,WIG,4.0,90,1.0,0,0.0,2.0,0.0,0,1.0,0,1,90.0,90.0,0.25,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Pollitt,CLEAN_POSITIVE_MINUTES,,pollitt,MATCHED,EXACT_DISPLAY_NAME,GK,Pollitt,Wigan,6.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Kirkland,WIG,4.5,3330,37.0,0,12.0,49.0,0.0,0,96.0,4,132,34.69,25.23,29.33,GK,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-goalkeepers,False,Kirkland,CLEAN_POSITIVE_MINUTES,,kirkland,MATCHED,EXACT_DISPLAY_NAME,GK,Kirkland,Wigan,95.0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Sagna,ARS,6.5,2458,28.0,4,10.0,21.0,3.0,0,,3,115,,21.37,17.69,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Sagna,CLEAN_POSITIVE_MINUTES,1.0,sagna,MATCHED,EXACT_DISPLAY_NAME,DEF,Sagna,Arsenal,0.0,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Senderos,ARS,5.0,1246,15.0,0,7.0,11.0,0.0,1,,1,65,,19.17,13.0,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Senderos,CLEAN_POSITIVE_MINUTES,2.0,senderos,MATCHED,EXACT_DISPLAY_NAME,DEF,Senderos,Arsenal,25.0,5.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
Clichy,ARS,6.5,3330,37.0,5,15.0,30.0,5.0,0,,9,146,,22.81,22.46,DEF,https://www.fantasyfootballscout.co.uk/fantasy-premier-league-defenders,False,Clichy,CLEAN_POSITIVE_MINUTES,0.0,clichy,MATCHED,EXACT_DISPLAY_NAME,DEF,Clichy,Arsenal,80.0,6.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html,False
