launch_position,launch_player,launch_team,points_2006_07,start_price_m,launch_source_url
DEF,Hoyte,Arsenal,70,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Mellberg,Aston Villa,129,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Djourou,Birmingham,66,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Queudrue,Birmingham,80,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ooijer,Blackburn,46,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Khizanishvili,Blackburn,39,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Nelsen,Blackburn,24,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Hunt,Bolton,91,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Gardner,Bolton,23,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Meite,Bolton,101,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Faye,Bolton,82,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Stubbs,Everton,90,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Bocanegra,Fulham,99,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Insua,Liverpool,3,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Richards,Man. City,94,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Huth,Middlesbrough,22,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Young,Middlesbrough,84,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Cacapa,Newcastle,0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Jose Enrique,Newcastle,0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Babayaro,Newcastle,23,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Carr,Newcastle,56,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Taylor,Newcastle,93,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Rozehnal,Newcastle,0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Lauren,Portsmouth,28,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Primus,Portsmouth,134,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Hreidarsson,Portsmouth,79,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Shorey,Reading,145,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Rocha,Tottenham,17,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Lee,Tottenham,44,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Kaboul,Tottenham,0,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Neill,West Ham,96,5.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Bouma,Aston Villa,85,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Cahill,Aston Villa,51,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Delaney,Aston Villa,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Laursen,Aston Villa,53,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ridgewell,Birmingham,69,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Jaidi,Birmingham,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Berner,Blackburn,2,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Michalik,Bolton,9,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Samuel,Bolton,4,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Cid,Bolton,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Todd,Derby,10,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Hibbert,Everton,26,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Valente,Everton,30,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Baines,Everton,95,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Konchesky,Fulham,41,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Knight,Fulham,63,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Rosenior,Fulham,103,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Volz,Fulham,76,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Baird,Fulham,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ball,Man. City,38,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Onuoha,Man. City,54,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Garrido,Man. City,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Evans,Man. United,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Bardsley,Man. United,46,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Cathcart,Man. United,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Davies,Middlesbrough,57,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Riggott,Middlesbrough,5,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Taylor,Middlesbrough,83,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ramage,Newcastle,48,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Huntington,Newcastle,19,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Pamarot,Portsmouth,56,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Stefanovic,Portsmouth,65,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Traore,Portsmouth,38,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,De La Cruz,Reading,40,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Murty,Reading,66,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Sonko,Reading,60,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ingimarsson,Reading,123,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Halford,Sunderland,4,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Gardner,Tottenham,10,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Stalteri,Tottenham,13,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Assou-Ekotto,Tottenham,43,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Upson,West Ham,2,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Davenport,West Ham,33,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Collins,West Ham,44,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ferdinand,West Ham,83,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Gabbidon,West Ham,34,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Spector,West Ham,50,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,McCartney,West Ham,46,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Scharner,Wigan,75,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Melchiot,Wigan,0,4.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Kelly,Birmingham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Sadler,Birmingham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Taylor,Birmingham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Tebily,Birmingham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Parnaby,Birmingham,21,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Schmitz,Birmingham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Henchoz,Blackburn,31,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Johnson M,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Camara,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Edworthy,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Leacock,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Moore,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,McEveley,Derby,7,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Mears,Derby,6,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Davis,Derby,45,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Nyatanga,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Griffin,Derby,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Christanval,Fulham,49,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Pearce,Fulham,52,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Hughes,Fulham,43,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Leijer,Fulham,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Sun,Man. City,35,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Mills D,Man. City,1,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Bates,Middlesbrough,2,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Wheater,Middlesbrough,9,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Edgar,Newcastle,14,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Carroll,Newcastle,4,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,O'Brien,Portsmouth,3,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Bikey,Reading,38,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Duberry,Reading,19,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Nosworthy,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Varga,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Collins,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Wright,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Anderson,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,McShane,Sunderland,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Ifil,Tottenham,1,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Dailly,West Ham,17,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Paintsil,West Ham,5,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Granqvist,Wigan,0,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Hall,Wigan,32,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Taylor,Wigan,49,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Boyce,Wigan,91,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
DEF,Bramble,Wigan,41,4.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
MID,Ronaldo,Man. United,244,12.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
MID,Lampard,Chelsea,202,11.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
MID,Gerrard,Liverpool,180,10.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
MID,Fabregas,Arsenal,182,9.5,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
MID,Cole J,Chelsea,16,9.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
MID,Robben,Chelsea,81,9.0,https://web.archive.org/web/20070810212948id_/http://fantasy.premierleague.com/playerlist.html
