archive_id,official_name,fpl_minutes,fpl_points,canonical_playerId,canonical_name,raw_minutes,method,score
148,Jack Robinson,147,7,83427,Jack Robinson,147.0,EXACT_NORMALIZED,1.0
149,Jon Flanagan,620,21,91979,Jon Flanagan,621.0,EXACT_NORMALIZED,1.0
150,Martin Kelly,860,42,58786,Martin Kelly,859.0,EXACT_NORMALIZED,1.0
151,Glen Johnson,2437,100,9047,Glen Johnson,2438.0,EXACT_NORMALIZED,1.0
152,Jamie Carragher,2486,90,1809,Jamie Carragher,2489.0,EXACT_NORMALIZED,1.0
153,Martin Skrtel,3420,126,26793,Martin Skrtel,3420.0,EXACT_NORMALIZED,1.0
154,Daniel Agger,1092,54,21094,Daniel Agger,1090.0,EXACT_NORMALIZED,1.0
155,Sanchez Jose Enrique,3124,105,26725,José Enrique,3125.0,MANUAL_ALIAS,0.98
157,Stewart Downing,3385,163,12002,Stewart Downing,3387.0,EXACT_NORMALIZED,1.0
158,Jonjo Shelvey,340,18,50232,Jonjo Shelvey,321.0,EXACT_NORMALIZED,1.0
159,Jay Spearing,795,30,55548,Jay Spearing,797.0,EXACT_NORMALIZED,1.0
160,Joe Cole,802,38,2060,Joe Cole,796.0,EXACT_NORMALIZED,1.0
161,Steven Gerrard,1870,88,1814,Steven Gerrard,1869.0,EXACT_NORMALIZED,1.0
162,Leiva Lucas,2858,81,43191,Lucas Leiva,2857.0,TOKEN_ORDER,0.99
163,Charlie Adam,3049,192,20208,Charlie Adam,3051.0,EXACT_NORMALIZED,1.0
164,Jordan Henderson,3211,133,56979,Jordan Henderson,3219.0,EXACT_NORMALIZED,1.0
167,Luis Suarez,1100,68,39336,Luis Suárez,1102.0,EXACT_NORMALIZED,1.0
168,Andy Carroll,2071,135,40142,Andy Carroll,2070.0,EXACT_NORMALIZED,1.0
170,Nathan Eccleston,11,1,59948,Nathan Eccleston,9.0,EXACT_NORMALIZED,1.0
171,Joe Hart,3420,175,15749,Joe Hart,3420.0,EXACT_NORMALIZED,1.0
173,Aleksandar Kolarov,1719,60,42593,Aleksandar Kolarov,1716.0,EXACT_NORMALIZED,1.0
174,Micah Richards,1399,67,20492,Micah Richards,1401.0,EXACT_NORMALIZED,1.0
175,Pablo Zabaleta,1947,102,20658,Pablo Zabaleta,1945.0,EXACT_NORMALIZED,1.0
176,Joleon Lescott,1883,103,7551,Joleon Lescott,1882.0,EXACT_NORMALIZED,1.0
