element_code,name,minutes,points,source,canonical_playerId,canonical_name,method
20208,Charlie Adam,3049,192,data/2016-17/players/Charlie_Adam/history.csv,20208,Charlie Adam,SHARED_ELEMENT_CODE
42493,Mario Balotelli,1090,55,data/2016-17/players/Mario_Balotelli/history.csv,42493,Mario Balotelli,SHARED_ELEMENT_CODE
32318,Marc Wilson,1855,56,data/2016-17/players/Marc_Wilson/history.csv,32318,Marc Wilson,SHARED_ELEMENT_CODE
38290,Danny Rose,351,17,data/2016-17/players/Danny_Rose/history.csv,38290,Danny Rose,SHARED_ELEMENT_CODE
50471,James McArthur,557,21,data/2016-17/players/James_McArthur/history.csv,50471,James McArthur,SHARED_ELEMENT_CODE
12745,Leighton Baines,3420,178,data/2016-17/players/Leighton_Baines/history.csv,12745,Leighton Baines,SHARED_ELEMENT_CODE
37339,Ahmed Elmohamady,2457,109,data/2016-17/players/Ahmed_Elmohamady/history.csv,37339,Ahmed El Mohamady,SHARED_ELEMENT_CODE
15109,Tom Huddlestone,1162,46,data/2016-17/players/Tom_Huddlestone/history.csv,15109,Tom Huddlestone,SHARED_ELEMENT_CODE
39253,Jonas Olsson,2123,62,data/2016-17/players/Jonas_Olsson/history.csv,39253,Jonas Olsson,SHARED_ELEMENT_CODE
9089,Ben Foster,3369,153,data/2016-17/players/Ben_Foster/history.csv,9089,Ben Foster,SHARED_ELEMENT_CODE
13017,Wayne Rooney,2225,142,data/2016-17/players/Wayne_Rooney/history.csv,13017,Wayne Rooney,SHARED_ELEMENT_CODE
40142,Andy Carroll,2071,135,data/2016-17/players/Andy_Carroll/history.csv,40142,Andy Carroll,SHARED_ELEMENT_CODE
37642,Jonny Evans,1004,29,data/2016-17/players/Jonny_Evans/history.csv,37642,Jonny Evans,SHARED_ELEMENT_CODE
12813,Jonathan Walters,2341,109,data/2016-17/players/Jonathan_Walters/history.csv,12813,Jonathan Walters,SHARED_ELEMENT_CODE
17476,Vincent Kompany,3330,95,data/2016-17/players/Vincent_Kompany/history.csv,17476,Vincent Kompany,SHARED_ELEMENT_CODE
43191,Leiva Lucas,2858,81,data/2016-17/players/Leiva_Lucas/history.csv,43191,Lucas Leiva,SHARED_ELEMENT_CODE
41792,Aaron Ramsey,355,18,data/2016-17/players/Aaron_Ramsey/history.csv,41792,Aaron Ramsey,SHARED_ELEMENT_CODE
12413,Robert Huth,3110,138,data/2016-17/players/Robert_Huth/history.csv,12413,Robert Huth,SHARED_ELEMENT_CODE
56979,Jordan Henderson,3211,133,data/2016-17/players/Jordan_Henderson/history.csv,56979,Jordan Henderson,SHARED_ELEMENT_CODE
28593,Victor Anichebe,769,19,data/2016-17/players/Victor_Anichebe/history.csv,28593,Victor Anichebe,SHARED_ELEMENT_CODE
12086,Boaz Myhill,540,12,data/2016-17/players/Boaz_Myhill/history.csv,12086,Boaz Myhill,SHARED_ELEMENT_CODE
82263,Marcos Alonso,360,7,data/2016-17/players/Marcos_Alonso/history.csv,82263,Marcos Alonso,SHARED_ELEMENT_CODE
42593,Aleksandar Kolarov,1719,60,data/2016-17/players/Aleksandar_Kolarov/history.csv,42593,Aleksandar Kolarov,SHARED_ELEMENT_CODE
14295,Darren Fletcher,2109,87,data/2016-17/players/Darren_Fletcher/history.csv,14295,Darren Fletcher,SHARED_ELEMENT_CODE
18892,Ashley Young,3050,160,data/2016-17/players/Ashley_Young/history.csv,18892,Ashley Young,SHARED_ELEMENT_CODE
41823,Fabian Delph,414,9,data/2016-17/players/Fabian_Delph/history.csv,41823,Fabian Delph,SHARED_ELEMENT_CODE
20066,Wayne Hennessey,2160,74,data/2016-17/players/Wayne_Hennessey/history.csv,20066,Wayne Hennessey,SHARED_ELEMENT_CODE
37742,Younes Kaboul,1632,46,data/2016-17/players/Younes_Kaboul/history.csv,37742,Younes Kaboul,SHARED_ELEMENT_CODE
15749,Joe Hart,3420,175,data/2016-17/players/Joe_Hart/history.csv,15749,Joe Hart,SHARED_ELEMENT_CODE
20480,Tim Krul,1856,51,data/2017-18/players/Tim_Krul/history.csv,20480,Tim Krul,SHARED_ELEMENT_CODE
