player,team,rows,minutes_sum,assists_sum,points_sum,weeks,dates
Callum McManaman,,38,562,2,35,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 17:30 | 03 Dec 20:00 | 03 Nov 15:00 | 06 Oct 15:00 | 07 Apr 16:10 | 07 May 19:45 | 08 Dec 15:00 | 09 Feb 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 14 May 19:45 | 15 Dec 15:00 | 15 Sep 15:00 | 17 Apr 19:45 | 17 Mar 16:00 | 17 March 15:00 | 17 Nov 15:00 | 19 Aug 13:30 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 12:45 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Nov 20:00 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Cameron Jerome,,38,1123,3,55,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 May 20:00 | 07 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 10 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 13:30 | 14 Apr 14:05 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 19 Nov 20:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 12:45 | 24 Nov 15:00 | 26 Aug 13:30 | 26 Dec 19:45 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 17:30
Cameron Lancaster,,37,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 03 Feb 13:30 | 03 Mar 16:00 | 03 Nov 15:00 | 07 Apr 14:05 | 07 Oct 15:00 | 08 May 19:45 | 09 Dec 15:00 | 09 Feb 12:45 | 10 Mar 16:00 | 11 Nov 13:30 | 12 Jan 12:45 | 12 May 13:30 | 16 Dec 13:30 | 16 Sep 16:00 | 17 Mar 15:00 | 17 Nov 12:45 | 18 Aug 17:30 | 19 May 16:00 | 20 Jan 16:00 | 20 Oct 12:45 | 21 Apr 13:30 | 22 Dec 15:00 | 23 Sep 16:00 | 25 Aug 15:00 | 25 Feb 20:00 | 25 Nov 16:00 | 26 Dec 17:30 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 12:45 | 29 Sep 17:30 | 30 Jan 19:45 | 30 Mar 15:00
Carl Jenkinson,,13,810,0,39,1 2 3 4 5 6 7 8 9 10 20 29 30,02 Sep 13:30 | 03 Nov 12:45 | 06 Oct 17:30 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 17:30 | 21 March 20:00 | 23 Sep 16:00 | 26 Aug 13:30 | 27 Oct 15:00 | 29 Dec 17:30 | 29 Sep 12:45
Carlo Cudicini,,37,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 03 Feb 13:30 | 03 Mar 16:00 | 03 Nov 15:00 | 07 Apr 14:05 | 07 Oct 15:00 | 08 May 19:45 | 09 Dec 15:00 | 09 Feb 12:45 | 10 Mar 16:00 | 11 Nov 13:30 | 12 Jan 12:45 | 12 May 13:30 | 16 Dec 13:30 | 16 Sep 16:00 | 17 Mar 15:00 | 17 Nov 12:45 | 18 Aug 17:30 | 19 May 16:00 | 20 Jan 16:00 | 20 Oct 12:45 | 21 Apr 13:30 | 22 Dec 15:00 | 23 Sep 16:00 | 25 Aug 15:00 | 25 Feb 20:00 | 25 Nov 16:00 | 26 Dec 17:30 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 12:45 | 29 Sep 17:30 | 30 Jan 19:45 | 30 Mar 15:00
Carlos Alberto Vela,,12,0,0,0,1 2 3 4 5 6 7 8 9 10 20 30,02 Sep 13:30 | 03 Nov 12:45 | 06 Oct 17:30 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 17:30 | 23 Sep 16:00 | 26 Aug 13:30 | 27 Oct 15:00 | 29 Dec 17:30 | 29 Sep 12:45
Carlos Cuellar,,37,2166,2,78,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Sep 15:00 | 02 Dec 16:00 | 02 Feb 15:00 | 02 Jan 19:45 | 02 Mar 15:00 | 03 Nov 15:00 | 06 May 20:00 | 06 Oct 12:45 | 07 Apr 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 11 Dec 19:45 | 12 Jan 15:00 | 12 May 15:00 | 14 Apr 12:00 | 15 Dec 15:00 | 15 Sep 17:30 | 17 Mar 13:30 | 18 Aug 15:00 | 18 Nov 16:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Oct 13:30 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 12:45 | 26 Dec 15:00 | 27 Nov 19:45 | 27 Oct 15:00 | 29 Apr 20:00 | 29 Dec 12:45 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 12:45
Carlos Sa,,1,0,0,0,27,04 March 14:05
Carlos Salcido,,1,0,0,0,29,17 March 15:00
Carlos Tevez,,38,2407,15,172,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 17:30 | 03 Feb 16:00 | 03 Nov 17:30 | 04 Mar 20:00 | 06 Oct 12:45 | 07 May 19:45 | 08 Apr 20:00 | 09 Dec 13:30 | 09 Feb 17:30 | 11 Nov 13:30 | 13 Jan 16:00 | 14 May 20:00 | 15 Dec 12:45 | 15 Sep 15:00 | 16 Mar 12:45 | 17 Apr 19:45 | 17 Nov 15:00 | 19 Aug 16:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Oct 15:00 | 21 Apr 13:30 | 21 March 19:45 | 22 Dec 15:00 | 23 Sep 16:00 | 24 Feb 13:30 | 25 Nov 16:00 | 26 Aug 16:00 | 26 Dec 15:00 | 27 Apr 12:45 | 27 Oct 17:30 | 28 Nov 20:00 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Carlton Cole,,36,1339,1,50,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Dec 12:45 | 01 Jan 15:00 | 01 Oct 20:00 | 01 Sep 12:45 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 17:30 | 04 May 15:00 | 06 Oct 17:30 | 07 Apr 13:30 | 09 Dec 16:00 | 10 Feb 13:30 | 11 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Sep 12:45 | 16 Dec 16:00 | 17 Apr 19:45 | 17 Mar 16:00 | 18 Aug 15:00 | 19 May 16:00 | 19 Nov 20:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Jan 19:45 | 25 Aug 12:45 | 25 Feb 20:00 | 25 Nov 16:00 | 27 Apr 12:45 | 27 Oct 15:00 | 28 Nov 20:00 | 29 Dec 15:00 | 30 Jan 20:00 | 30 Mar 15:00
Cesar Azpilicueta,,34,2027,5,83,2 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Dec 12:45 | 02 Feb 15:00 | 02 Jan 19:45 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Oct 15:00 | 07 Apr 15:00 | 08 Dec 15:00 | 08 May 19:45 | 09 Feb 15:00 | 11 May 12:45 | 11 Nov 16:00 | 15 Sep 15:00 | 16 Jan 19:45 | 17 Apr 20:00 | 17 Mar 16:00 | 17 Nov 15:00 | 19 May 16:00 | 20 Jan 13:30 | 20 Oct 12:45 | 21 Apr 16:00 | 22 Sep 15:00 | 23 Dec 16:00 | 24 Feb 13:30 | 25 Aug 17:30 | 25 Nov 16:00 | 26 Dec 15:00 | 28 Apr 15:00 | 28 Nov 19:45 | 28 Oct 16:00 | 29 Sep 12:45 | 30 Dec 13:30 | 30 Jan 20:00 | 30 Mar 15:00
Charles Banya,,25,0,0,0,13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Apr 20:00 | 01 Dec 15:00 | 01 Jan 12:45 | 02 Feb 17:30 | 02 Mar 15:00 | 04 May 15:00 | 07 Apr 15:00 | 09 Feb 15:00 | 10 Dec 20:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Dec 15:00 | 17 Apr 20:00 | 17 Mar 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 22 Dec 17:30 | 23 Feb 12:45 | 24 Nov 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 30 Jan 20:00
Charles N'Zogbia,,13,318,0,11,1 2 3 4 5 6 7 8 9 10 20 30 33,02 Sep 16:00 | 03 Nov 15:00 | 07 Oct 15:00 | 09 April 17:30 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 15:00 | 22 Sep 15:00 | 25 Aug 15:00 | 27 Oct 12:45 | 29 Dec 15:00 | 30 Sep 16:00
Charlie Adam,,39,1803,6,86,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 May 20:00 | 07 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 10 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 13:30 | 14 Apr 14:05 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 19 Nov 20:00 | 20 Apr 15:00 | 20 Oct 15:00 | 21 March 20:00 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 12:45 | 24 Nov 15:00 | 26 Aug 16:00 | 26 Dec 19:45 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 17:30
Cheick Tiote,,38,1750,1,38,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,02 Feb 15:00 | 02 Jan 20:00 | 02 Mar 15:00 | 02 Sep 16:00 | 03 Dec 20:00 | 04 May 15:00 | 04 Nov 16:00 | 07 Apr 15:00 | 07 Oct 16:00 | 09 Feb 12:45 | 10 Dec 20:00 | 10 Mar 15:00 | 11 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 14 Apr 12:00 | 15 Dec 12:45 | 17 Mar 16:00 | 17 Nov 15:00 | 17 Sep 20:00 | 18 Aug 17:30 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Oct 13:30 | 22 Dec 15:00 | 23 Sep 15:00 | 24 Feb 13:30 | 25 Aug 17:30 | 25 Nov 15:00 | 26 Dec 15:00 | 27 Apr 17:30 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 17:30 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Chico,,36,2115,0,64,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 03 Nov 15:00 | 06 Apr 15:00 | 06 Oct 15:00 | 07 May 19:45 | 08 Dec 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 16:00 | 15 Sep 15:00 | 16 Dec 13:30 | 16 Mar 15:00 | 17 Feb 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Sep 12:45 | 23 Dec 13:30 | 25 Aug 12:45 | 25 Nov 13:30 | 26 Dec 15:00 | 27 Oct 17:30 | 28 Apr 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 15:00
Chris Baird,,38,1320,0,45,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Apr 20:00 | 01 Dec 15:00 | 01 Jan 12:45 | 01 Sep 12:45 | 02 Feb 17:30 | 02 Mar 15:00 | 03 Nov 15:00 | 04 May 15:00 | 07 Apr 15:00 | 07 Oct 13:30 | 09 Feb 15:00 | 10 Dec 20:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Dec 15:00 | 15 Sep 15:00 | 17 Apr 20:00 | 17 Mar 15:00 | 17 March 15:00 | 18 Aug 15:00 | 18 Nov 16:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 17:30 | 22 Sep 15:00 | 23 Feb 12:45 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 27 Oct 15:00 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Sep 15:00 | 30 Jan 20:00
Chris Brunt,,37,2184,6,92,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 12:45 | 01 Sep 15:00 | 02 Mar 15:00 | 03 Feb 13:30 | 05 Nov 20:00 | 06 Apr 15:00 | 06 Oct 15:00 | 07 May 19:45 | 08 Dec 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 11 Feb 20:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Sep 15:00 | 16 Dec 16:00 | 16 Mar 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 17:30 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 12:45 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 15:00 | 30 Jan 19:45 | 30 Mar 15:00 | 30 Sep 16:00
Chris Eagles,,1,0,0,0,19,31 Dec. 15:00
Chris Gunter,,36,1699,0,46,1 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 17:30 | 01 Jan 15:00 | 02 Feb 15:00 | 02 Mar 15:00 | 04 May 15:00 | 04 Nov 13:30 | 06 Apr 12:45 | 06 Oct 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 11 Dec 19:45 | 12 Jan 15:00 | 13 Apr 15:00 | 14 May 20:00 | 16 Mar 17:30 | 16 Sep 16:00 | 17 Dec 20:00 | 17 Nov 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Aug 19:45 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 15:00 | 26 Dec 15:00 | 27 Nov 20:00 | 27 Oct 15:00 | 28 Apr 13:30 | 29 Dec 15:00 | 29 Sep 15:00 | 30 Jan 20:00 | 30 Mar 15:00
Chris Herd,,12,238,0,4,1 2 3 4 5 6 7 8 9 10 20 30,02 Sep 16:00 | 03 Nov 15:00 | 07 Oct 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 15:00 | 22 Sep 15:00 | 25 Aug 15:00 | 27 Oct 12:45 | 29 Dec 15:00 | 30 Sep 16:00
Chris Kirkland,,1,0,0,0,33,11 April 19:45
Chris Martin C,,38,4,0,1,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Jan 15:00 | 01 Sep 15:00 | 02 Dec 16:00 | 02 Feb 12:45 | 02 Mar 15:00 | 03 Nov 15:00 | 04 May 15:00 | 06 Apr 15:00 | 06 Oct 15:00 | 08 Dec 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 13 Apr 15:00 | 15 Dec 15:00 | 15 Sep 12:45 | 17 Mar 13:30 | 17 Nov 17:30 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 17:30 | 22 Dec 15:00 | 23 Feb 15:00 | 23 Sep 15:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 27 Oct 12:45 | 28 Nov 19:45 | 29 Dec 15:00 | 29 Sep 15:00 | 30 Jan 19:45 | 30 Mar 15:00
Chris Smalling,,38,1037,0,48,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 17:30 | 01 Jan 15:00 | 02 Feb 17:30 | 02 Mar 15:00 | 02 Sep 16:00 | 03 Nov 12:45 | 05 May 16:00 | 07 Oct 16:00 | 08 Apr 20:00 | 09 Dec 13:30 | 10 Feb 16:00 | 10 Nov 17:30 | 12 May 16:00 | 13 Jan 13:30 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 17:30 | 17 Apr 19:45 | 17 Nov 17:30 | 18 March 13:30 | 19 May 16:00 | 20 Aug 20:00 | 20 Jan 16:00 | 20 Oct 15:00 | 22 Apr 20:00 | 23 Dec 13:30 | 23 Feb 15:00 | 23 Sep 13:30 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 28 Apr 16:00 | 28 Nov 20:00 | 28 Oct 16:00 | 29 Dec 15:00 | 29 Sep 17:30 | 30 Jan 20:00 | 30 Mar 12:45
Christian Benteke,,35,2818,4,166,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 02 Feb 15:00 | 03 Nov 15:00 | 04 Mar 20:00 | 04 May 15:00 | 06 Apr 15:00 | 07 Oct 15:00 | 08 Dec 15:00 | 09 Mar 15:00 | 10 Feb 13:30 | 10 Nov 17:30 | 11 May 12:45 | 12 Jan 15:00 | 13 Apr 15:00 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 17 Nov 15:00 | 19 Jan 17:30 | 19 May 16:00 | 20 Oct 15:00 | 22 Apr 20:00 | 22 Sep 15:00 | 23 Dec 16:00 | 23 Feb 15:00 | 24 Nov 17:30 | 26 Dec 17:30 | 27 Nov 20:00 | 27 Oct 12:45 | 29 Apr 20:00 | 29 Dec 15:00 | 29 Jan 19:45 | 30 Sep 16:00 | 31 Mar 13:30
Christian Poulsen,,1,0,0,0,27,03 March 12:45
Christophe Berra,,1,81,0,1,33,11 April 19:45
Chu-Young Park,,14,0,0,0,1 2 3 4 5 6 7 8 9 10 17 20 29 30,02 Sep 13:30 | 03 Nov 12:45 | 06 Oct 17:30 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 17:30 | 21 Dec. 19:45 | 21 March 20:00 | 23 Sep 16:00 | 26 Aug 13:30 | 27 Oct 15:00 | 29 Dec 17:30 | 29 Sep 12:45
Chung-Yong Lee,,2,0,0,0,3 17,20 Dec. 20:00 | 27 Aug. 17:30
Ciaran Clark,,12,867,1,28,1 2 3 4 5 6 7 8 9 10 20 30,02 Sep 16:00 | 03 Nov 15:00 | 07 Oct 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 15:00 | 22 Sep 15:00 | 25 Aug 15:00 | 27 Oct 12:45 | 29 Dec 15:00 | 30 Sep 16:00
Clarindo Santos,,14,314,0,13,1 2 3 4 5 6 7 8 9 10 19 20 29 30,02 Sep 13:30 | 03 Nov 12:45 | 06 Oct 17:30 | 15 Sep 15:00 | 16 Mar 15:00 | 18 Aug 15:00 | 20 Oct 17:30 | 21 March 20:00 | 23 Sep 16:00 | 26 Aug 13:30 | 27 Oct 15:00 | 29 Dec 17:30 | 29 Sep 12:45 | 31 Dec. 15:00
Claudio Yacob,,37,2384,0,56,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 12:45 | 01 Sep 15:00 | 02 Mar 15:00 | 03 Feb 13:30 | 05 Nov 20:00 | 06 Apr 15:00 | 06 Oct 15:00 | 07 May 19:45 | 08 Dec 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 11 Feb 20:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Sep 15:00 | 16 Dec 16:00 | 16 Mar 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 17:30 | 19 May 16:00 | 20 Apr 15:00 | 20 Oct 15:00 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 12:45 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 15:00 | 30 Jan 19:45 | 30 Mar 15:00 | 30 Sep 16:00
Clint Dempsey,,38,2013,6,131,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 36 37 38,01 Dec 15:00 | 01 Jan 15:00 | 01 Sep 15:00 | 03 Feb 13:30 | 03 Mar 16:00 | 03 Nov 15:00 | 04 March 14:05 | 07 Apr 14:05 | 07 Oct 15:00 | 08 May 19:45 | 09 Dec 15:00 | 09 Feb 12:45 | 10 Mar 16:00 | 11 Nov 13:30 | 12 Jan 12:45 | 12 May 13:30 | 16 Dec 13:30 | 16 Sep 16:00 | 17 Mar 15:00 | 17 Nov 12:45 | 18 Aug 15:00 | 19 May 16:00 | 20 Jan 16:00 | 20 Oct 12:45 | 21 Apr 13:30 | 22 Dec 15:00 | 23 Sep 16:00 | 25 Aug 15:00 | 25 Feb 20:00 | 25 Nov 16:00 | 26 Dec 17:30 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 15:00 | 29 Dec 12:45 | 29 Sep 17:30 | 30 Jan 19:45 | 30 Mar 15:00
Clint Hill,,38,2628,1,64,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Apr 20:00 | 01 Dec 15:00 | 01 Oct 20:00 | 01 Sep 17:30 | 02 Feb 12:45 | 02 Jan 19:45 | 02 Mar 15:00 | 04 May 17:30 | 04 Nov 13:30 | 06 Oct 15:00 | 07 Apr 16:10 | 08 Dec 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 12 Jan 12:45 | 12 May 15:00 | 13 Apr 15:00 | 15 Dec 15:00 | 15 Sep 15:00 | 16 Mar 15:00 | 17 Nov 15:00 | 18 Aug 15:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Oct 16:00 | 22 Dec 15:00 | 23 Feb 15:00 | 23 Sep 16:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Nov 19:45 | 27 Oct 15:00 | 28 Apr 13:30 | 29 Jan 19:45 | 30 Dec 16:00
Connor Wickham,,37,353,0,13,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,01 Sep 15:00 | 02 Dec 16:00 | 02 Feb 15:00 | 02 Jan 19:45 | 02 Mar 15:00 | 03 Nov 15:00 | 06 May 20:00 | 06 Oct 12:45 | 07 Apr 15:00 | 09 Feb 15:00 | 09 Mar 15:00 | 10 Nov 15:00 | 11 Dec 19:45 | 12 Jan 15:00 | 12 May 15:00 | 14 Apr 12:00 | 15 Dec 15:00 | 15 Sep 17:30 | 17 Mar 13:30 | 18 Aug 15:00 | 18 Nov 16:00 | 19 Jan 15:00 | 19 May 16:00 | 20 Apr 15:00 | 21 Oct 13:30 | 22 Dec 15:00 | 22 Sep 15:00 | 23 Feb 15:00 | 24 Nov 12:45 | 26 Dec 15:00 | 27 Nov 19:45 | 27 Oct 15:00 | 29 Apr 20:00 | 29 Dec 12:45 | 29 Jan 19:45 | 29 Sep 15:00 | 30 Mar 12:45
Conor McAleny,,38,0,0,0,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,01 Dec 15:00 | 01 Sep 15:00 | 02 Feb 15:00 | 02 Jan 20:00 | 02 Mar 15:00 | 03 Nov 15:00 | 05 May 13:30 | 06 Oct 15:00 | 07 Apr 14:05 | 09 April 15:00 | 09 Dec 15:00 | 10 Feb 16:00 | 10 Nov 15:00 | 12 Jan 15:00 | 12 May 15:00 | 15 Dec 15:00 | 16 Apr 19:45 | 16 Mar 12:45 | 17 Nov 15:00 | 17 Sep 20:00 | 19 May 16:00 | 20 Apr 15:00 | 20 Aug 20:00 | 21 Jan 20:00 | 21 Oct 16:00 | 22 Dec 15:00 | 22 Sep 12:45 | 23 Feb 15:00 | 24 Nov 15:00 | 25 Aug 15:00 | 26 Dec 15:00 | 27 Apr 15:00 | 28 Nov 19:45 | 28 Oct 13:30 | 29 Sep 15:00 | 30 Dec 13:30 | 30 Jan 19:45 | 30 Mar 17:30
