archive_id,code,first_name,second_name,web_name,current_team,current_type,element_type_id,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,ea_ppi,end_cost_tenths,end_price_m,total_points,source_path
111,418782,Magaye,Gueye,Gueye,Everton,Forward,4,191,0,1,2,2,0,0,0,0,0,0,1,0,50,5.0,11,20_5_2013/111
112,389438,Jose,Baxter,Baxter,Everton,Forward,4,13,0,0,0,0,0,0,0,0,0,0,0,0,41,4.1,1,20_5_2013/112
113,300989,Victor,Anichebe,Anichebe,Everton,Forward,4,769,0,0,0,13,0,0,0,1,1,0,0,0,50,5.0,19,20_5_2013/113
117,265274,David,Stockdale,Stockdale,Fulham,Goalkeeper,1,630,0,0,3,6,0,1,0,0,0,25,1,0,38,3.8,38,20_5_2013/117
118,30805,Mark,Schwarzer,Schwarzer,Fulham,Goalkeeper,1,2790,0,0,11,37,0,0,0,0,0,93,0,0,47,4.7,113,20_5_2013/118
120,370942,Matthew,Briggs,Briggs,Fulham,Defender,2,195,0,0,0,4,0,0,0,0,0,0,0,0,40,4.0,4,20_5_2013/120
121,242792,Philippe,Senderos,Senderos,Fulham,Defender,2,270,0,0,2,2,0,0,0,0,0,0,0,0,42,4.2,13,20_5_2013/121
122,253711,Stephen,Kelly,Kelly,Reading,Defender,2,729,0,0,2,8,0,0,0,0,0,0,0,0,42,4.2,23,20_5_2013/122
123,31892,Aaron,Hughes,Hughes,Fulham,Defender,2,3404,1,1,14,43,0,0,0,0,0,0,3,0,50,5.0,129,20_5_2013/123
124,219296,Brede,Hangeland,Hangeland,Fulham,Defender,2,3330,6,1,13,43,1,0,0,6,0,0,12,0,59,5.9,154,20_5_2013/124
125,230594,Chris,Baird,Baird,Fulham,Defender,2,2383,2,1,10,30,0,0,0,5,0,0,4,0,47,4.7,99,20_5_2013/125
129,224958,Steve,Sidwell,Sidwell,Fulham,Midfielder,3,1063,2,2,5,11,0,0,0,4,0,0,2,0,47,4.7,45,20_5_2013/129
130,30746,Damien,Duff,Duff,Fulham,Midfielder,3,1876,4,2,9,20,0,0,0,3,0,0,14,0,61,6.1,91,20_5_2013/130
131,204349,Dickson,Etuhu,Etuhu,Fulham,Midfielder,3,1971,2,2,7,27,0,0,0,3,0,0,7,0,43,4.3,76,20_5_2013/131
132,292498,Clint,Dempsey,Dempsey,Tottenham,Midfielder,3,3091,12,3,12,41,0,0,1,5,0,0,23,0,74,7.4,168,20_5_2013/132
133,33177,Simon,Davies,Davies,Fulham,Midfielder,3,2213,4,4,9,29,0,0,0,0,0,0,6,0,45,4.5,101,20_5_2013/133
139,299815,Mousa,Dembele,Dembele,Tottenham,Midfielder,3,1916,3,3,7,27,0,0,0,0,0,0,15,0,47,4.7,81,20_5_2013/139
143,293455,Hugo,Rodallega,Rodallega,Fulham,Forward,4,3025,9,2,8,54,0,0,0,4,1,0,18,0,54,5.4,123,20_5_2013/143
144,195189,Jose,Reina,Reina,Liverpool,Goalkeeper,1,3420,0,0,14,44,1,0,0,4,0,106,2,0,61,6.1,135,20_5_2013/144
147,421437,Danny,Wilson,Wilson,Liverpool,Defender,2,157,0,0,0,5,0,0,0,1,0,0,0,0,44,4.4,1,20_5_2013/147
148,448652,Jack,Robinson,Robinson,Liverpool,Defender,2,147,0,0,1,1,0,0,0,1,0,0,0,0,40,4.0,7,20_5_2013/148
149,447142,Jon,Flanagan,Flanagan,Liverpool,Defender,2,620,0,0,3,6,0,0,0,3,0,0,0,0,45,4.5,21,20_5_2013/149
150,389502,Martin,Kelly,Kelly,Liverpool,Defender,2,860,0,1,5,7,0,0,0,1,0,0,2,0,37,3.7,42,20_5_2013/150
151,249096,Glen,Johnson,Johnson,Liverpool,Defender,2,2437,2,2,10,34,0,0,0,4,0,0,3,0,71,7.1,100,20_5_2013/151
152,28634,Jamie,Carragher,Carragher,Liverpool,Defender,2,2486,0,0,11,30,1,0,0,4,0,0,6,0,60,6.0,90,20_5_2013/152
153,284089,Martin,Skrtel,Skrtel,Liverpool,Defender,2,3420,2,1,14,44,1,0,0,8,0,0,4,0,59,5.9,126,20_5_2013/153
154,281745,Daniel,Agger,Agger,Liverpool,Defender,2,1092,0,0,6,10,0,0,0,0,0,0,5,0,63,6.3,54,20_5_2013/154
155,320925,Sanchez,Jose Enrique,Jose Enrique,Liverpool,Defender,2,3124,0,3,9,50,0,0,0,5,0,0,11,0,47,4.7,105,20_5_2013/155
157,245367,Stewart,Downing,Downing,Liverpool,Midfielder,3,3385,7,9,7,59,0,0,0,0,0,0,18,0,71,7.1,163,20_5_2013/157
158,389451,Jonjo,Shelvey,Shelvey,Liverpool,Midfielder,3,340,0,1,0,5,0,0,0,1,0,0,0,0,50,5.0,18,20_5_2013/158
159,368391,Jay,Spearing,Spearing,Liverpool,Midfielder,3,795,0,2,4,9,0,0,0,0,0,0,0,0,45,4.5,30,20_5_2013/159
160,43188,Joe,Cole,Cole,West Ham,Midfielder,3,802,2,1,1,20,0,0,0,1,1,0,0,0,83,8.3,38,20_5_2013/160
161,42671,Steven,Gerrard,Gerrard,Liverpool,Midfielder,3,1870,4,5,7,26,0,0,1,2,0,0,8,0,113,11.3,88,20_5_2013/161
162,353260,Leiva,Lucas,Lucas,Liverpool,Midfielder,3,2858,0,2,12,37,0,0,0,6,1,0,7,0,45,4.5,81,20_5_2013/162
163,293131,Charlie,Adam,Adam,Stoke City,Midfielder,3,3049,12,9,5,68,1,0,1,10,0,0,45,0,60,6.0,192,20_5_2013/163
