archive_id,first_name,second_name,web_name,current_team,current_type,element_type_id,history_status,season,minutes,goals,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,ea_ppi,end_cost_tenths,end_price_m,total_points,source_path
49,Marc,Albrighton,Albrighton,Aston Villa,Midfielder,3,POSITIVE_MINUTES,2010/11,1800,5,7,4,33,0,0,0,3,0,0,4,0,44,4.4,99,20_5_2013/49
50,Stephen,Ireland,Ireland,Aston Villa,Midfielder,3,POSITIVE_MINUTES,2010/11,555,0,0,1,16,0,0,0,1,0,0,0,0,58,5.8,17,20_5_2013/50
51,Charles,N'Zogbia,N'Zogbia,Aston Villa,Midfielder,3,POSITIVE_MINUTES,2010/11,2785,9,7,8,49,0,0,0,2,1,0,33,0,59,5.9,167,20_5_2013/51
52,Gary,Gardner,Gardner,Aston Villa,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/52
53,Daniel,Johnson,Johnson,Aston Villa,Midfielder,3,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4.5,0,20_5_2013/53
54,Samir,Carruthers,Carruthers,Aston Villa,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/54
55,Jack,Grealish,Grealish,Aston Villa,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/55
56,Brett,Holman,Holman,Aston Villa,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/56
57,Karim,El Ahmadi,El Ahmadi,Aston Villa,Midfielder,3,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/57
58,Darren,Bent,Bent,Aston Villa,Forward,4,POSITIVE_MINUTES,2010/11,3142,17,2,12,41,0,0,0,1,0,0,14,0,92,9.2,158,20_5_2013/58
59,Nathan,Delfouneso,Delfouneso,Aston Villa,Forward,4,POSITIVE_MINUTES,2010/11,398,1,0,1,8,0,0,0,0,0,0,0,0,46,4.6,17,20_5_2013/59
60,Gabriel,Agbonlahor,Agbonlahor,Aston Villa,Forward,4,POSITIVE_MINUTES,2010/11,1603,3,1,4,26,0,0,0,3,0,0,0,0,81,8.1,55,20_5_2013/60
61,Andreas,Weimann,Weimann,Aston Villa,Forward,4,POSITIVE_MINUTES,2010/11,5,0,0,0,0,0,0,0,0,0,0,0,0,50,5.0,1,20_5_2013/61
62,Graham,Burke,Burke,Aston Villa,Forward,4,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/62
63,Petr,Cech,Cech,Chelsea,Goalkeeper,1,POSITIVE_MINUTES,2010/11,3420,0,1,15,33,0,1,0,0,0,98,2,0,67,6.7,158,20_5_2013/63
64,Henrique,Hilario,Hilario,Chelsea,Goalkeeper,1,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4.1,0,20_5_2013/64
65,Ross,Turnbull,Turnbull,Chelsea,Goalkeeper,1,ZERO_MINUTES,2010/11,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4.1,0,20_5_2013/65
66,Gary,Cahill,Cahill,Chelsea,Defender,2,POSITIVE_MINUTES,2010/11,3213,3,0,5,53,0,0,0,7,1,0,23,0,56,5.6,105,20_5_2013/66
67,David,Luiz,Luiz,Chelsea,Defender,2,POSITIVE_MINUTES,2010/11,953,2,0,4,8,0,0,0,3,0,0,10,0,65,6.5,56,20_5_2013/67
68,Ryan,Bertrand,Bertrand,Chelsea,Defender,2,POSITIVE_MINUTES,2010/11,35,0,1,0,1,0,0,0,0,0,0,0,0,40,4.0,4,20_5_2013/68
69,John,Terry,Terry,Chelsea,Defender,2,POSITIVE_MINUTES,2010/11,2961,3,2,14,27,0,0,0,6,0,0,0,0,74,7.4,134,20_5_2013/69
70,Branislav,Ivanovic,Ivanovic,Chelsea,Defender,2,POSITIVE_MINUTES,2010/11,2827,4,5,13,27,0,0,0,12,0,0,5,0,71,7.1,144,20_5_2013/70
71,Paulo,Ferreira,Ferreira,Chelsea,Defender,2,POSITIVE_MINUTES,2010/11,1039,0,2,4,14,0,0,0,2,0,0,0,0,48,4.8,48,20_5_2013/71
72,Ashley,Cole,Cole A,Chelsea,Defender,2,POSITIVE_MINUTES,2010/11,3385,0,5,15,32,0,0,0,4,0,0,11,0,81,8.1,150,20_5_2013/72
73,Sam,Hutchinson,Hutchinson,Chelsea,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/73
74,Nathaniel,Chalobah,Chalobah,Chelsea,Defender,2,NO_2010_11_HISTORY,2010/11,,,,,,,,,,,,,,,,,20_5_2013/74
75,Josh,McEachran,McEachran,Chelsea,Midfielder,3,POSITIVE_MINUTES,2010/11,180,0,0,0,3,0,0,0,1,0,0,0,0,45,4.5,9,20_5_2013/75
76,Nascimento,Ramires,Ramires,Chelsea,Midfielder,3,POSITIVE_MINUTES,2010/11,1933,2,0,10,18,0,0,0,7,0,0,4,0,67,6.7,68,20_5_2013/76
77,Frank,Lampard,Lampard,Chelsea,Midfielder,3,POSITIVE_MINUTES,2010/11,2024,10,4,9,21,0,0,1,2,0,0,16,0,130,13.0,130,20_5_2013/77
